long,lat,ZIP Code,Facility_Name,County,Address,City,Zip_Code,Beds,Telephone,Facility_Type,,,
-84.522213,34.083137,30188,DSI WOODSTOCK DIALYSIS CENTER,CHEROKEE,2001 PROFESSIONAL  PARKWAY   STE 100,WOODSTOCK,30188,15,6784941171,END STAGE RENAL DIALYSIS CLINIC,,,
-84.503556,34.085578,30188,FMC DIALYSIS SERVICES WOODSTOCK,CHEROKEE,"110 LONDONDERRY COURT, STE 100",WOODSTOCK,30188,16,7705923439,END STAGE RENAL DIALYSIS CLINIC,,,
-84.491755,34.246667,30114,NORTHWEST GEORGIA DIALYSIS,CHEROKEE,260 HOSPITAL ROAD,CANTON,30114,19,6788803939,END STAGE RENAL DIALYSIS CLINIC,,,
-84.491971,34.24936,30114,RENAL CARE CENTER OF NORTH GEORGIA BMA,CHEROKEE,411 HOSPITAL ROAD,CANTON,30114,14,7704790259,END STAGE RENAL DIALYSIS CLINIC,,,
-84.240993,33.61867,30294,"ELLENWOOD DIALYSIS CENTER, LLC",CLAYTON,209 BENNETTE BLVD,ELLENWOOD,30294,16,7704742200,END STAGE RENAL DIALYSIS CLINIC,,,
-84.444808,33.611305,30349,FMC ATLANTA-COLLEGE PARK,CLAYTON,1720 PHOENIX PKWY,COLLEGE PARK,30349,16,7709965889,END STAGE RENAL DIALYSIS CLINIC,,,
-84.377648,33.620894,30297,FOREST PARK DIALYSIS CENTER,CLAYTON,380 FOREST PARKWAY,FOREST PARK,30297,18,4043610646,END STAGE RENAL DIALYSIS CLINIC,,,city
-84.379359,33.581026,30236,FRESENIUS MEDICAL CARE CLAYTON COUNTY,CLAYTON,"335 UPPER RIVERDALE ROAD, STE A-1",JONESBORO,30236,21,7709079001,END STAGE RENAL DIALYSIS CLINIC,,,
-84.352993,33.522737,30236,JONESBORO DIALYSIS,CLAYTON,129 KING STREET,JONESBORO,30236,20,7704712381,END STAGE RENAL DIALYSIS CLINIC,,,
-84.210415,33.514011,30281,RAI -EAGLES LANDING-STOCKBRIDGE,CLAYTON,500 EAGLES LANDING PARKWAY,STOCKBRIDGE,30281,23,7704746068,END STAGE RENAL DIALYSIS CLINIC,,,
-84.399332,33.574352,30274,SOUTHERN CRESCENT DIALYSIS CENTER,CLAYTON,"275 UPPER RIVERDALE RD SW, SUITE B",RIVERDALE,30274,20,7709077022,END STAGE RENAL DIALYSIS CLINIC,,,
-84.273526,33.553465,30281,STOCKBRIDGE DIALYSIS CLINIC,CLAYTON,3580 CAMERON PARKWAY,STOCKBRIDGE,30281,20,6785656228,END STAGE RENAL DIALYSIS CLINIC,,,
-84.456072,33.881246,30339,ADVANCED KIDNEY THERAPIES,COBB,3200 COBB GALLERIA PKWY STE 228,ATLANTA,30339,13,7707779779,END STAGE RENAL DIALYSIS CLINIC,,,
-84.627084,33.864105,30106,AUSTELL RENAL CENTER,COBB,3642 MARATHON CIRCLE,AUSTELL,30106,12,7704394170,END STAGE RENAL DIALYSIS CLINIC,,,
-84.6024,33.859187,30106,COBB DIALYSIS,COBB,3865 MEDICAL PARK DR.,AUSTELL,30106,16,7707328616,END STAGE RENAL DIALYSIS CLINIC,,,
-84.629028,33.867326,30106,COLONIAL SPRINGS DIALYSIS,COBB,"2840 EAST WEST CONNECTOR, STE 350",AUSTELL,30106,15,7702222236,END STAGE RENAL DIALYSIS CLINIC,,,
-84.537422,33.950342,30060,DSI COBB COUNTY RENAL CENTER,COBB,506 ROSWELL STREET,MARIETTA,30060,16,7704265110,END STAGE RENAL DIALYSIS CLINIC,,,
-84.590781,34.003193,30144,DSI KENNESAW HOME DIALYSIS,COBB,1925 VAUGHN ROAD SUITE 150,KENNESAW,30144,3,6783547124,END STAGE RENAL DIALYSIS CLINIC,,,
-84.555975,33.984955,30066,FMC NORTH COBB,COBB,1392 BELLS FERRY ROAD,MARIETTA,30066,25,7705283898,END STAGE RENAL DIALYSIS CLINIC,,,
-84.49294,33.828362,30082,FRESENIUS MEDICAL CARE HIGHLANDS,COBB,"2700 HIGHLANDS PARKWAY, SUITE A",SMYRNA,30082,20,6783035064,END STAGE RENAL DIALYSIS CLINIC,,,
-84.77628,33.908244,30141,FRESENIUS MEDICAL CARE HIRAM,COBB,3919 ATLANTA HWY,HIRAM,30141,16,7704439048,END STAGE RENAL DIALYSIS CLINIC,,,
-84.610575,33.838767,30106,FRESENIUS MEDICAL CARE SOUTH COBB,COBB,1886 STALLION PARKWAY,AUSTELL,30106,30,7709443237,END STAGE RENAL DIALYSIS CLINIC,,,
-84.344166,33.52841,30236,SPIVEY PERITONEAL AND HOME DIALYSIS CENTER,CLAYTON,1423 STOCKBRIDGE ROAD  SUITE B,JONESBORO,30236,4,7704712381,END STAGE RENAL DIALYSIS CLINIC,,,
-84.522858,33.955351,30062,KENNESTONE DIALYSIS,COBB,200 N COBB PKWY STE 318,MARIETTA,30062,18,6787971110,END STAGE RENAL DIALYSIS CLINIC,,,
-84.676555,34.038155,30101,FRESENIUS MEDICAL CARE ACWORTH,COBB,3372 ACWORTH SUMMITH BIVD NW,ACWORTH,30101,22,7704283539,END STAGE RENAL DIALYSIS CLINIC,,,
-84.595394,33.815356,30126,MABLETON DIALYSIS,COBB,1380 VETERANS MEMORIAL HIGHWAY SW,MABLETON,30126,17,7704851773,END STAGE RENAL DIALYSIS CLINIC,,,
-84.603039,33.906556,30064,PIEDMONT DIALYSIS NORTH,COBB,1720 POWDER SPRINGS RD SW,MARIETTA,30064,18,6108924700,END STAGE RENAL DIALYSIS CLINIC,,,
-84.549647,33.980144,30066,RENAL CARE CENTER OF MARIETTA BMA,COBB,"1277 KENNESTONE CIRCLE, STE 600",MARIETTA,30066,25,7704248391,END STAGE RENAL DIALYSIS CLINIC,,,
-84.279985,33.790414,30030,BMA DEKALB GWINNETT,DEKALB,"497 WINN WAY, STE 160",DECATUR,30030,22,4042947070,END STAGE RENAL DIALYSIS CLINIC,,,
-84.222838,33.854368,30084,BMA OF TUCKER,DEKALB,4845 LAVISTA ROAD,TUCKER,30084,16,7704917177,END STAGE RENAL DIALYSIS CLINIC,,,
-84.320829,33.794108,30322,CHILDREN'S HEALTHCARE OF ATLANTA AT EGLESTON,DEKALB,"1405 CLIFTON ROAD, N.E., 6TH FLOOR",ATLANTA,30322,8,4043256000,END STAGE RENAL DIALYSIS CLINIC,,,
-84.284271,33.732835,30032,DECATUR DIALYSIS CENTER,DEKALB,1987 CANDLER ROAD,DECATUR,30032,20,4042861710,END STAGE RENAL DIALYSIS CLINIC,,,
-84.290286,33.792433,30030,"DIALYSIS CLINIC, INC- DEKALB",DEKALB,558 MEDLOCK ROAD,DECATUR,30030,12,4043710499,END STAGE RENAL DIALYSIS CLINIC,,,
-84.173258,33.714915,30035,DIALYSIS OF LITHONIA,DEKALB,2485 PARK CENTRAL BOULEVARD,DECATUR,30035,26,6784189808,END STAGE RENAL DIALYSIS CLINIC,,,
-84.272123,33.706684,30034,EAST DEKALB DIALYSIS,DEKALB,"2853 CANDLER ROAD, SUITE 203",DECATUR,30034,16,4042410402,END STAGE RENAL DIALYSIS CLINIC,,,
-84.28864,33.739543,30032,EASTLAKE DIALYSIS,DEKALB,1757 CANDLER ROAD,DECATUR,30032,20,4042892313,END STAGE RENAL DIALYSIS CLINIC,,,
-84.271736,33.709615,30034,EMORY DIALYSIS AT CANDLER,DEKALB,2726 CANDLER ROAD,DECATUR,30034,38,4047781025,END STAGE RENAL DIALYSIS CLINIC,,,
-84.278858,33.789112,30030,FMC DIALYSIS SERVICES OF DECATUR,DEKALB,2721 IRWIN WAY,DECATUR,30030,20,4042985450,END STAGE RENAL DIALYSIS CLINIC,,,
-84.174908,33.704765,30035,FMC DIALYSIS SERVICES SNAPFINGER,DEKALB,5250 SNAPFINGER PARK DRIVE,DECATUR,30035,21,7708086227,END STAGE RENAL DIALYSIS CLINIC,,,
-84.14279,33.705413,30058,FMCNA SOUTH DEKALB/ROCKDALE,DEKALB,6085 HILLANDALE DRIVE,LITHONIA,30058,20,7709818077,END STAGE RENAL DIALYSIS CLINIC,,,
-84.204279,33.80081,30083,FRESENIUS MEDICAL CARE STONE MOUNTAIN,DEKALB,5723 MEMORIAL DRIVE,STONE MOUNTAIN,30083,20,6788360251,END STAGE RENAL DIALYSIS CLINIC,,,
-84.284271,33.732835,30032,MCAFEE DIALYSIS,DEKALB,1987 CANDLER RD STE C,DECATUR,30032,16,4042848596,END STAGE RENAL DIALYSIS CLINIC,,,
-84.223449,33.797189,30083,MOUNTAIN PARK DIALYSIS,DEKALB,5235 MEMORIAL DRIVE,STONE MOUNTAIN,30083,13,4042961344,END STAGE RENAL DIALYSIS CLINIC,,,
-84.251028,33.823278,30084,NORTHLAKE DIALYSIS,DEKALB,"1350 MONTREAL ROAD, STE 200",TUCKER,30084,20,6784060825,END STAGE RENAL DIALYSIS CLINIC,,,
-84.114489,33.705881,30058,RENAL CARE GROUP LITHONIA,DEKALB,2701 EVANS MILL ROAD,LITHONIA,30058,20,7704825991,END STAGE RENAL DIALYSIS CLINIC,,,
-84.219922,33.798768,30083,"RENAL CARE PARTNERS OF STONE MOUNTAIN, LLC",DEKALB,5329 MEMORIAL DRIVE SUITE B,STONE MOUNTAIN,30083,20,6788360251,END STAGE RENAL DIALYSIS CLINIC,,,
-84.174699,33.704547,30035,SNAPFINGER DIALYSIS,DEKALB,5255 SNAPFINGER PARK DR STE 115,DECATUR,30035,24,7709810558,END STAGE RENAL DIALYSIS CLINIC,,,
-84.206908,33.850784,30084,TUCKER DIALYSIS,DEKALB,4434 HUGH HOWELL RD,TUCKER,30084,16,6153204286,END STAGE RENAL DIALYSIS CLINIC,,,
-84.0899,33.69701,30038,TURNER HILL DIALYSIS,DEKALB,7301 STONECREST CONCOURSE,LITHONIA,30038,20,7704848475,END STAGE RENAL DIALYSIS CLINIC,,,
-84.762747,33.723218,30135,ARBOR PLACE DIALYSIS,DOUGLAS,9559 HIGHWAY 5 STE #1,DOUGLASVILLE,30135,12,6783910949,END STAGE RENAL DIALYSIS CLINIC,,,
-84.701816,33.74438,30135,DOUGLASVILLE DIALYSIS,DOUGLAS,3899 LONGVIEW DRIVE,DOUGLASVILLE,30135,20,7709498403,END STAGE RENAL DIALYSIS CLINIC,,,
-84.729648,33.735475,30135,FMC DOUGLAS COUNTY,DOUGLAS,"4645 TIMBER RIDGE RD, STE 140",DOUGLASVILLE,30135,17,6788383233,END STAGE RENAL DIALYSIS CLINIC,,,
-84.655844,33.781619,30122,SWEETWATER DIALYSIS,DOUGLAS,7117  S SWEETWATER ROAD,LITHIA SPRINGS,30122,17,6789453600,END STAGE RENAL DIALYSIS CLINIC,,,
-84.313494,33.803525,30033,SOUTHERN LANE DIALYSIS,DEKALB,1840 SOUTHERN LANE,DECATUR,30033,16,4043258884,END STAGE RENAL DIALYSIS CLINIC,,,
-84.481634,33.45153,30214,"DIALYSIS CLINIC, INC- FAYETTEVILLE",FAYETTE,155 BRANDY WINE BLVD.,FAYETTEVILLE,30214,17,7707166940,END STAGE RENAL DIALYSIS CLINIC,,,
-84.510026,33.45168,30214,FAYETTEVILLE DIALYSIS,FAYETTE,"1279 HIGHWAY 54 WEST, SUITE 110",FAYETTEVILLE,30214,19,6788179974,END STAGE RENAL DIALYSIS CLINIC,,,
-84.605216,33.39522,30269,PEACHTREE CITY DIALYSIS,FAYETTE,2830 W HWY 54 BLDG 100 STE# J,PEACHTREE CITY,30269,16,6783649165,END STAGE RENAL DIALYSIS CLINIC,,,
-84.368448,33.771019,30308,ATLANTA DIALYSIS,FULTON,567 NORTH AVE NE  STE 200,ATLANTA,30308,28,4048531662,END STAGE RENAL DIALYSIS CLINIC,,,
-84.506138,33.450664,30214,RAI-HWY 54-FAYETTEVILLE,FAYETTE,1240 HIGHWAY 54 WEST,FAYETTEVILLE,30214,20,7704600136,END STAGE RENAL DIALYSIS CLINIC,,,
-84.374898,33.750595,30312,ATLANTA MIDTOWN DIALYSIS,FULTON,"418 DECATUR ST SE, SUITE A",ATLANTA,30312,10,4046140641,END STAGE RENAL DIALYSIS CLINIC,,,
-84.443391,33.668533,30344,ATLANTA SOUTH DIALYSIS,FULTON,"3158 EAST MAIN STREET, SUITE A",EAST POINT,30344,18,4047615593,END STAGE RENAL DIALYSIS CLINIC,,,
-84.471092,33.753075,30311,ATLANTA WEST DIALYSIS,FULTON,2538 MARTIN LUTHER KING JR. DRIVE,ATLANTA,30311,18,4046991300,END STAGE RENAL DIALYSIS CLINIC,,,
-84.507809,33.760684,30331,BAKERS FERRY DIALYSIS,FULTON,3645 BAKERS FERRY ROAD,ATLANTA,30331,20,4046911932,END STAGE RENAL DIALYSIS CLINIC,,,
-84.407656,33.798453,30318,BUCKHEAD DIALYSIS,FULTON,"1575 NORTHSIDE DRIVE, NW, STE 365",ATLANTA,30318,18,4043518266,END STAGE RENAL DIALYSIS CLINIC,,,
-84.407656,33.798453,30318,BUCKHEAD HOME TRAINING,FULTON,1575 NORTHSIDE DRIVE SUITE 355,ATLANTA,30318,4,4043521870,END STAGE RENAL DIALYSIS CLINIC,,,
-84.382599,33.757674,30303,"DIALYSIS CLINIC, INC- ATLANTA HOME TRAINING",FULTON,"120 PIEDMONT AVE.,  STE 300",ATLANTA,30303,14,4042302873,END STAGE RENAL DIALYSIS CLINIC,,,
-84.379455,33.772714,30308,"DIALYSIS CLINIC, INC- CRAWFORD LONG",FULTON,240 PONCE DE LEON AVE.,ATLANTA,30308,28,4048884530,END STAGE RENAL DIALYSIS CLINIC,,,
-84.407705,33.77874,30318,"DIALYSIS CLINIC, INC- NORTHSIDE",FULTON,"870 NORTHSIDE DRIVE, SUITE 300",ATLANTA,30318,23,4048884520,END STAGE RENAL DIALYSIS CLINIC,,,
-84.349318,33.715319,30316,EAST ATLANTA DIALYSIS,FULTON,1308 MORELAND AVENUE SE,ATLANTA,30316,23,4046275511,END STAGE RENAL DIALYSIS CLINIC,,,
-84.442166,33.682195,30344,EAST POINT DIALYSIS CENTER,FULTON,2669 CHURCH STREET,EAST POINT,30344,28,4047651780,END STAGE RENAL DIALYSIS CLINIC,,,
-84.489214,33.689671,30331,EMORY DIALYSIS AT GREENBRIAR,FULTON,2841 GREENBRIAR PKWY STE 126,ATLANTA,30331,26,4047781001,END STAGE RENAL DIALYSIS CLINIC,,,
-84.406382,33.771283,30318,EMORY DIALYSIS AT NORTHSIDE,FULTON,"610 NORTHSIDE DRIVE, NW",ATLANTA,30318,41,4047781050,END STAGE RENAL DIALYSIS CLINIC,,,
-84.324416,34.067793,30076,FMC ALPHARETTA,FULTON,1260-A UPPER HEMBREE ROAD,ROSWELL,30076,16,7707519757,END STAGE RENAL DIALYSIS CLINIC,,,
-84.394696,33.786598,30318,FMC ATLANTA-DOWNTOWN,FULTON,"231 14TH STREET, N.W.",ATLANTA,30318,21,4048928554,END STAGE RENAL DIALYSIS CLINIC,,,
-84.359839,33.970349,30350,FMC SANDY SPRINGS,FULTON,7840 ROSWELL RD BLDG 200 ST 210,ATLANTA,30350,21,7706043330,END STAGE RENAL DIALYSIS CLINIC,,,
-84.368448,33.771019,30308,FORD FACTORY SQUARE DIALYSIS,FULTON,567 NORTH AVENUE SUITE 100,ATLANTA,30308,24,4048727211,END STAGE RENAL DIALYSIS CLINIC,,,
-84.471945,33.624844,30337,FRESENIUS MEDICAL CARE COLLEGE PARK,FULTON,2545 SULLIVAN ROAD,COLLEGE PARK,30337,18,4045912022,END STAGE RENAL DIALYSIS CLINIC,,,
-84.334144,33.827116,30309,FMC- CENTRAL ATL DIALYSIS CTR,FULTON,22 EXECUTIVE PK W STE 2200,ATLANTA,30309,16,4044171916,END STAGE RENAL DIALYSIS CLINIC,,,
-84.658206,33.529295,30268,FRESENIUS MEDICAL CARE PALMETTO DIALYSIS,FULTON,500  WALNUT WAY,PALMETTO,30268,18,7704631442,END STAGE RENAL DIALYSIS CLINIC,,,
-84.362166,33.914437,30328,FRESENIUS MEDICAL CARE PERIMETER,FULTON,"5825 GLENRIDGE DRIVE, BLDG 3, STE 150",ATLANTA,30328,19,4042500058,END STAGE RENAL DIALYSIS CLINIC,,,
-84.415108,33.660128,30354,"HAPEVILLE DIALYSIS CENTER, LLC",FULTON,800 VIRGINIA AVE STE 100,HAPEVILLE,30354,18,4047629333,END STAGE RENAL DIALYSIS CLINIC,,,
-84.355502,33.90796,30342,"HOME DIALYSIS OF NORTH ATLANTA, INC",FULTON,980 JOHNSON FERRY RD STE 410A,ATLANTA,30342,2,4048355081,END STAGE RENAL DIALYSIS CLINIC,,,
-84.350732,33.912661,30342,LAKE HEARN DIALYSIS,FULTON,"1150 LAKE HEARN DRIVE NE, SUITE 100",ATLANTA,30342,16,4048479850,END STAGE RENAL DIALYSIS CLINIC,,,
-84.383545,33.769704,30308,LINDEN DIALYSIS,FULTON,121 LINDEN AVE NE,ATLANTA,30308,20,4048179700,END STAGE RENAL DIALYSIS CLINIC,,,
-84.407656,33.798453,30318,LORING HEIGHTS DIALYSIS,FULTON,"1575 NORTHSIDE DRIVE, BLDG 400, SUITE 405",ATLANTA,30318,20,4043527125,END STAGE RENAL DIALYSIS CLINIC,,,
-84.184771,34.040046,30097,MEDLOCK BRIDGE DIALYSIS,FULTON,10680 MEDLOCK BRIDGE ROAD,DULUTH,30097,16,4041234567,END STAGE RENAL DIALYSIS CLINIC,,,
-84.374898,33.750595,30312,MID ATLANTA HOME DIALYSIS,FULTON,"418 DECATUR ST SE, STE B",ATLANTA,30312,5,4048270372,END STAGE RENAL DIALYSIS CLINIC,,,
-84.315159,34.061715,30076,NORTH FULTON DIALYSIS,FULTON,"1250 NORTH MEADOWS PARKWAY, STE 120",ROSWELL,30076,22,7705692888,END STAGE RENAL DIALYSIS CLINIC,,,
-84.397913,33.808569,30309,PIEDMONT DIALYSIS,FULTON,"105 COLLIER ROAD, N.W., LEVEL B",ATLANTA,30309,20,4046053414,END STAGE RENAL DIALYSIS CLINIC,,,
-84.374898,33.750595,30312,RALPH MCGILL DIALYSIS,FULTON,418 DECATUR STREET,ATLANTA,30312,19,4045241606,END STAGE RENAL DIALYSIS CLINIC,,,
-84.359839,33.970349,30350,RENAL CARE PARTNERS OF DUNWOODY,FULTON,7840 ROSWELL RD STE 310,ATLANTA,30350,6,7705182662,END STAGE RENAL DIALYSIS CLINIC,,,
-84.407982,33.683174,30315,SOUTH FULTON DIALYSIS,FULTON,"2685 METROPOLITAN PKWY SW, STE F",ATLANTA,30315,20,4047612630,END STAGE RENAL DIALYSIS CLINIC,,,
-84.496446,33.68607,30331,SOUTH FULTON DIALYSIS CENTER,FULTON,3268 GREENBRIAR PKY,ATLANTA,30331,17,4046699669,END STAGE RENAL DIALYSIS CLINIC,,,
-84.507904,33.760635,30331,SOUTHSTAR ADAMSVILLE DIALYSIS,FULTON,3651 BAKERS FERRY RD SW,ATLANTA,30331,12,4044721856,END STAGE RENAL DIALYSIS CLINIC,,,
-84.506558,33.760399,30331,SOUTHWEST ATLANTA DIALYSIS CENTER,FULTON,"3620 MARTIN L. KING DRIVE, S.W",ATLANTA,30331,30,4046967303,END STAGE RENAL DIALYSIS CLINIC,,,
-84.393322,33.73998,30312,SUNRISE ON CENTRAL DIALYSIS,FULTON,540 CENTRAL AVE SW,ATLANTA,30312,20,4045819314,END STAGE RENAL DIALYSIS CLINIC,,,
-84.433089,33.679336,30344,TRINITY DIALYSIS CLINIC,FULTON,1354 CLEVELAND AVENUE,EAST POINT,30344,20,4047630405,END STAGE RENAL DIALYSIS CLINIC,,,
-84.538791,33.575788,30291,UNION CITY DIALYSIS,FULTON,6851 SHANNON PKWY STE 200,UNION CITY,30291,18,7707749300,END STAGE RENAL DIALYSIS CLINIC,,,
-84.32167,34.064506,30076,US RENAL CARE ROSWELL DIALYSIS,FULTON,"11660 ALPHARETTA HIGHWAY, STE 650",ALPHARETTA,30076,19,6787100970,END STAGE RENAL DIALYSIS CLINIC,,,
-84.035374,33.856443,30078,BMA OF SNELLVILLE,GWINNETT,2096 MCGEE ROAD,SNELLVILLE,30078,11,7709856656,END STAGE RENAL DIALYSIS CLINIC,,,
-84.011604,34.097897,30518,BUFORD DIALYSIS,GWINNETT,"1550 BUFORD HIGHWAY, STE 1E",BUFORD,30518,12,7708312379,END STAGE RENAL DIALYSIS CLINIC,,,
-84.169669,33.998972,30096,DULUTH DIALYSIS CENTER,GWINNETT,3770 HOWELL FERRY ROAD,DULUTH,30096,16,6784950410,END STAGE RENAL DIALYSIS CLINIC,,,
-84.082258,33.945835,30044,FMCNA DULUTH/LAWRENCEVILLE,GWINNETT,1115 HERRINGTON ROAD,LAWRENCEVILLE,30044,18,7709623546,END STAGE RENAL DIALYSIS CLINIC,,,
-84.169743,33.989343,30096,FRESENIUS MEDICAL CARE BERKELEY LAKE,GWINNETT,3870 PEACHTREE INDUSTRIAL BLVD NW,DULUTH,30096,20,7704957942,END STAGE RENAL DIALYSIS CLINIC,,,
-83.875926,33.817244,30052,FRESENIUS MEDICAL CARE LOGANVILLE,GWINNETT,3431 HIGHWAY 81 SOUTH,LOGANVILLE,30052,10,6786391633,END STAGE RENAL DIALYSIS CLINIC,,,
-84.20072,33.904844,30093,NEPHRON-NORCROSS DIALYSIS CENTER,GWINNETT,6060 SINGLETON RD,NORCROSS,30093,14,7709621231,END STAGE RENAL DIALYSIS CLINIC,,,
-84.001735,33.856003,30078,SNELLVILLE DIALYSIS,GWINNETT,"2135 MAIN ST E, STE 130",SNELLVILLE,30078,18,7709793117,END STAGE RENAL DIALYSIS CLINIC,,,
-84.016591,33.859113,30078,SNELLVILLE DIALYSIS CENTER,GWINNETT,2290 OAK ROAD,SNELLVILLE,30078,19,7709621231,END STAGE RENAL DIALYSIS CLINIC,,,
-84.055085,33.960848,30043,SUGARLOAF DIALYSIS,GWINNETT,"1705 BELLE MEADE, STE 110",LAWRENCEVILLE,30043,20,7705132833,END STAGE RENAL DIALYSIS CLINIC,,,
-84.230144,33.514955,30281,FRESENIUS MEDICAL CARE HENRY COUNTY,HENRY,1365 ROCK QUARRY ROAD,STOCKBRIDGE,30281,11,7704745234,END STAGE RENAL DIALYSIS CLINIC,,,
-84.143943,33.44878,30253,MCDONOUGH DIALYSIS CENTER,HENRY,114 DUNN STREET,MCDONOUGH,30253,24,7708984999,END STAGE RENAL DIALYSIS CLINIC,,,
-84.259768,33.555123,30281,NORTH HENRY DIALYSIS,HENRY,5627 N HENRY BLVD STE I-1,STOCKBRIDGE,30281,16,7705069277,END STAGE RENAL DIALYSIS CLINIC,,,
-84.15702,33.423451,30253,"SOUTH HENRY DIALYSIS, LLC",HENRY,1095 HENRY PARKWAY CONNECTOR,MCDONOUGH,30253,16,6786883507,END STAGE RENAL DIALYSIS CLINIC,,,
-84.0131,33.960872,30045,GWINNETT DIALYSIS CENTER,GWINNETT,605 OLD NORCROSS ROAD,LAWRENCEVILLE,30045,20,7705130927,END STAGE RENAL DIALYSIS CLINIC,,,
-83.996308,33.680742,30012,CONYERS DIALYSIS,ROCKDALE,"1501 MILSTEAD RD, NE STE 150",CONYERS,30012,13,7707618097,END STAGE RENAL DIALYSIS CLINIC,,,
-84.003931,33.677457,30012,FMCNA CONYERS,ROCKDALE,1285 WELLBROOK CIRCLE,CONYERS,30012,15,7709220209,END STAGE RENAL DIALYSIS CLINIC,,,
-84.00747,33.968428,30045,RCG LAWRENCEVILLE,GWINNETT,"350 PHILIP BLVD, NW",LAWRENCEVILLE,30045,18,7702370013,END STAGE RENAL DIALYSIS CLINIC,,,